"school_no","school_name","year","unpaid"
"323","Durham School of the Arts","2016-17",1027.47
"324","Hillandale","2016-17",631.66
"325","Hillside","2016-17",3368.74
"327","Hope Valley","2016-17",3178.64
"328","Holt","2016-17",682.75
"332","Forestview","2016-17",890.32
"336","DPS Hospital School","2016-17",0
"338","Shepard","2016-17",2394.18
"339","Lakewood Elementary","2016-17",0
"340","Little River","2016-17",328.7
"341","Lakeview","2016-17",0
"342","Lakewood Middle","2016-17",385.45
"343","Lucas","2016-17",5635.46
"344","Fayetteville Street","2016-17",0
"346","Lowe's Grove","2016-17",890.43
"347","George Watts","2016-17",422.8
"348","Mangum","2016-17",465.47
"352","Merrick Moore","2016-17",0
"353","Middle College","2016-17",0
"354","Morehead","2016-17",298.65
"355","Neal","2016-17",14135.73
"356","Northern","2016-17",1007.83
"360","Oak Grove","2016-17",3274.54
"362","Parkwood","2016-17",8575.5
"363","E K Powe","2016-17",6389.56
"364","Pearsontown","2016-17",1238.37
"365","Riverside","2016-17",4483.13
"366","Githens","2016-17",3700.01
"367","R N Harris","2016-17",0
"368","Southern","2016-17",22924.67
"369","Sandy Ridge","2016-17",2814.76
"370","Rogers Herr","2016-17",1575.81
"372","Southwest","2016-17",7582.46
"374","C C Spaulding","2016-17",0
"376","Spring Valley","2016-17",506.9
"388","W G Pearson Elementary","2016-17",0
"389"," W G Pearson Middle","2016-17",0
"400","Y E Smith","2016-17",0
"700","Southern STEM","2016-17",0
"701","Hillside New Tech","2016-17",597.8
"304","Bethesda","2017-18",0
"306","Brogden","2017-18",7654.69
"308","Burton","2017-18",0
"309","Early College","2017-18",0
"310","Eastway","2017-18",0
"312","Jordan","2017-18",34195.81
"313","Easley","2017-18",761.53
"314","School for Creative Studies","2017-18",1447.85
"315","Eno Valley","2017-18",0
"316","Carrington","2017-18",841.13
"317","City of Medicine","2017-18",0
"318","Club","2017-18",325.56
"319","Creekside","2017-18",1339.82
"320","Glenn","2017-18",0
"322","Performance Learning Center","2017-18",3.3
"323","Durham School of the Arts","2017-18",14836.83
"324","Hillandale","2017-18",776.83
"325","Hillside","2017-18",7587.81
"327","Hope Valley","2017-18",7746.84
"328","Holt","2017-18",3490.83
"332","Forestview","2017-18",3065.07
"336","DPS Hospital School","2017-18",0
"338","Shepard","2017-18",10341.69
"339","Lakewood Elementary","2017-18",0
"340","Little River","2017-18",2463.45
"341","Lakeview","2017-18",0
"342","Lakewood Middle","2017-18",1245.94
"343","Lucas","2017-18",1583.09
"344","Fayetteville Street","2017-18",0
"346","Lowe's Grove","2017-18",6555.32
"347","George Watts","2017-18",1855.4
"348","Mangum","2017-18",805.75
"352","Merrick Moore","2017-18",0.8
"353","Middle College","2017-18",0
"354","Morehead","2017-18",2669.75
"355","Neal","2017-18",27121.24
"356","Northern","2017-18",1255.04
"360","Oak Grove","2017-18",2260.98
"362","Parkwood","2017-18",4484.19
"363","E K Powe","2017-18",2307.76
"364","Pearsontown","2017-18",1162
"365","Riverside","2017-18",8722.76
"366","Githens","2017-18",5725.92
"367","R N Harris","2017-18",0
"368","Southern","2017-18",27533.16
"369","Sandy Ridge","2017-18",10499.1
"370","Rogers Herr","2017-18",1605.06
"372","Southwest","2017-18",2493.85
"374","C C Spaulding","2017-18",0
"376","Spring Valley","2017-18",80.8
"388","W G Pearson Elementary","2017-18",0
"389"," W G Pearson Middle","2017-18",0
"400","Y E Smith","2017-18",0
"700","Southern STEM","2017-18",0
"701","Hillside New Tech","2017-18",2174.55
